equipo,dorsal,posicion,nombre,fecha de nacimiento (edad),nacionalidad,valor de mercado
Real Valladolid CF,24,Extremo derecho,Keko,27/12/1991 (27),España,"2,00 mill. €  "
Real Valladolid CF,15,Extremo derecho,Pablo Hervías,08/03/1993 (26),España,800 miles €  
Real Valladolid CF,9,Delantero centro,Enes Ünal,10/05/1997 (21),Turquía,"5,00 mill. €  "
Real Valladolid CF,12,Delantero centro,Sergi Guardiola,29/05/1991 (27),España,"5,00 mill. €  "
Real Valladolid CF,10,Delantero centro,Óscar Plano,11/02/1991 (28),España,"2,50 mill. €  "
Real Valladolid CF,20,Delantero centro,Duje Cop,01/02/1990 (29),Croacia,"2,00 mill. €  "
Real Valladolid CF,42,Delantero centro,Stiven Plaza,11/03/1999 (20),Ecuador,"2,00 mill. €  "
SD Huesca,25,Portero,Aleksandar Jovanovic,06/12/1992 (26),Serbia,"1,00 mill. €  "
SD Huesca,1,Portero,Javi Varas,10/09/1982 (36),España,300 miles €  
SD Huesca,13,Portero,Roberto Santamaría,17/02/1985 (34),España,300 miles €  
SD Huesca,14,Defensa central,Jorge Pulido,08/04/1991 (28),España,"3,00 mill. €  "
SD Huesca,3,Defensa central,Xabier Etxeita,31/10/1987 (31),España,"2,00 mill. €  "
SD Huesca,18,Defensa central,Pablo Insua,09/09/1993 (25),España,"1,50 mill. €  "
SD Huesca,2,Defensa central,Martín Mantovani,07/07/1984 (34),Argentina,400 miles €  
SD Huesca,4,Defensa central,Adrián Diéguez,04/02/1996 (23),España,300 miles €  
SD Huesca,12,Lateral izquierdo,Javi Galán,19/11/1994 (24),España,"1,00 mill. €  "
SD Huesca,16,Lateral izquierdo,Luisinho,05/05/1985 (33),Portugal,"1,00 mill. €  "
SD Huesca,24,Lateral derecho,Jorge Miramón,02/06/1989 (29),España,"3,00 mill. €  "
SD Huesca,15,Lateral derecho,Carlos Akapo,12/03/1993 (26),Guinea Ecuatorial,"1,00 mill. €  "
SD Huesca,21,Pivote,Yangel Herrera,07/01/1998 (21),Venezuela,"1,50 mill. €  "
SD Huesca,5,Pivote,Juan Aguilera,13/09/1985 (33),España,400 miles €  
SD Huesca,8,Medio centro,Gonzalo Melero,02/01/1994 (25),España,"5,00 mill. €  "
SD Huesca,17,Medio centro,Christian Rivera,09/07/1997 (21),España,"2,50 mill. €  "
SD Huesca,23,Medio centro,Damián Musto,09/06/1987 (31),Argentina,"1,50 mill. €  "
SD Huesca,6,Medio centro ofensivo,Moi Gómez,23/06/1994 (24),España,"5,00 mill. €  "
SD Huesca,10,Medio centro ofensivo,Juanjo Camacho,02/08/1980 (38),España,100 miles €  
SD Huesca,19,Extremo izquierdo,Ezequiel Ávila,06/02/1994 (25),Argentina,"3,00 mill. €  "
SD Huesca,11,Extremo izquierdo,Álex Gallar,19/03/1992 (27),España,"1,50 mill. €  "
SD Huesca,7,Extremo derecho,David Ferreiro,01/04/1988 (31),España,"2,00 mill. €  "
SD Huesca,20,Extremo derecho,Juanpi Añor,24/01/1994 (25),Venezuela,"1,50 mill. €  "
SD Huesca,9,Delantero centro,Cucho Hernández,22/04/1999 (19),Colombia,"5,00 mill. €  "
SD Huesca,22,Delantero centro,Enric Gallego,12/09/1986 (32),España,"3,00 mill. €  "
